Case ID,Activity,Resource,Complete Timestamp,Variant,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-10011,Confirmation of receipt,Resource21,2011/10/11 14:45:40.276,Variant 19,Internet,General,Group 2,Resource21,task-42933,complete,Group 1
case-10011,T03 Adjust confirmation of receipt,Resource21,2011/11/24 16:36:51.302,Variant 19,Internet,General,Group 2,Resource21,task-42957,complete,Group 1
case-10011,T02 Check confirmation of receipt,Resource21,2011/11/24 16:37:16.553,Variant 19,Internet,General,Group 2,Resource21,task-47958,complete,Group 4
case-10011,End,End,2011/11/24 16:37:16.553,Variant 19,End,End,End,End,End,End,End
case-10017,Confirmation of receipt,Resource30,2011/10/18 14:46:39.679,Variant 32,Internet,General,Group 5,Resource04,task-43021,complete,EMPTY
case-10017,T06 Determine necessity of stop advice,Resource30,2011/10/18 14:47:06.950,Variant 32,Internet,General,Group 5,Resource04,task-43672,complete,Group 1
case-10017,T03 Adjust confirmation of receipt,Resource30,2011/10/18 14:47:41.811,Variant 32,Internet,General,Group 5,Resource04,task-43674,complete,Group 1
case-10017,T10 Determine necessity to stop indication,Resource30,2011/10/18 14:48:15.357,Variant 32,Internet,General,Group 5,Resource04,task-43673,complete,Group 1
case-10017,T03 Adjust confirmation of receipt,Resource30,2011/10/18 14:48:30.632,Variant 32,Internet,General,Group 5,Resource04,task-43676,complete,Group 1
case-10017,T02 Check confirmation of receipt,Resource30,2011/10/18 14:51:01.525,Variant 32,Internet,General,Group 5,Resource04,task-43679,complete,Group 4
case-10017,T03 Adjust confirmation of receipt,admin2,2011/10/18 14:56:57.603,Variant 32,Internet,General,Group 5,Resource04,task-43686,complete,Group 1
case-10017,End,End,2011/10/18 14:56:57.603,Variant 32,End,End,End,End,End,End,End
case-10024,Confirmation of receipt,Resource03,2011/10/18 16:53:19.732,Variant 1,Internet,General,Group 8,Resource11,task-43229,complete,EMPTY
case-10024,T02 Check confirmation of receipt,Resource03,2011/10/18 16:53:38.108,Variant 1,Internet,General,Group 8,Resource11,task-43727,complete,Group 4
case-10024,T04 Determine confirmation of receipt,Resource03,2011/10/18 16:53:53.778,Variant 1,Internet,General,Group 8,Resource11,task-43729,complete,Group 3
