our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3356,6,4,6,3,3,3,3
3359,2,4,4,1,3,3,1
3361,1,4,2,1,3,1,1
3364,2,4,1,1,3,1,1
3368,6,4,1,3,3,3,3
3372,2,4,3,3,3,3,3
3380,2,4,6,1,3,3,1
3381,1,4,5,1,3,2,1
3383,2,4,6,1,3,3,1
3385,2,4,1,1,3,1,1
3394,2,4,2,3,3,3,3
3409,2,4,6,3,3,3,3
3421,1,4,4,1,3,3,1
3429,6,4,5,3,3,3,3
3461,2,4,2,1,3,1,1
3462,2,4,6,1,3,3,1
3467,6,4,2,3,3,3,3
3469,2,4,4,1,3,3,1
3472,5,4,5,3,3,3,3
3474,2,4,4,3,3,3,3
3478,2,4,3,1,3,2,1
3479,2,4,4,3,3,3,3
3490,2,4,4,1,3,3,1
3492,4,4,2,3,3,3,3
3494,2,4,5,3,3,3,3
3504,2,4,3,3,3,3,3
3506,1,4,2,3,3,3,3
3508,2,4,5,3,3,3,3
3529,2,4,3,3,3,3,3
3549,2,4,5,1,3,2,1
3564,6,4,5,3,3,3,3
3590,6,4,2,3,3,3,3
3603,1,4,3,1,3,2,1
3608,3,4,1,3,3,3,3
3610,2,4,2,3,3,3,3
3619,2,4,6,1,3,3,1
3623,2,4,5,1,3,2,1
3624,4,4,4,3,3,3,3
3626,2,4,3,3,3,3,3
3637,2,4,5,3,3,3,3
3638,6,4,3,3,3,3,3
3647,6,4,2,3,3,3,3
3652,6,4,1,3,3,3,3
3658,2,4,1,3,3,3,3
3662,5,4,3,3,3,3,3
3669,6,4,4,3,3,3,3
3675,4,4,5,3,3,3,3
3680,6,4,3,3,3,3,3
3685,1,4,3,3,3,3,3
3689,1,4,1,3,3,3,3
3692,2,4,1,3,3,3,3
3703,1,4,1,1,3,1,1
3714,2,4,3,3,3,3,3
3716,6,4,1,3,3,3,3
3717,2,4,3,1,3,2,1
3721,2,4,6,1,3,3,1
3728,2,4,4,1,3,3,1
3743,2,4,1,3,3,3,3
3744,6,4,5,3,3,3,3
3751,2,4,4,1,3,3,1
3752,2,4,1,3,3,3,3
3764,2,4,1,1,3,1,1
3765,1,4,2,1,3,1,1
3769,1,4,2,1,3,1,1
3771,2,4,1,1,3,1,1
3773,2,4,3,1,3,2,1
3784,2,4,3,1,3,2,1
3791,4,4,5,3,3,3,3
3808,5,4,3,3,3,3,3
3826,1,4,6,1,3,3,1
3829,2,4,4,3,3,3,3
3831,2,4,3,3,3,3,3
3832,5,4,4,3,3,3,3
3834,5,4,4,3,3,3,3
3848,1,4,2,1,3,1,1
3864,2,4,2,1,3,1,1
3869,2,4,2,1,3,1,1
3890,2,4,4,1,3,3,1
3892,2,4,3,3,3,3,3
3899,6,4,6,3,3,3,3
3901,2,4,6,3,3,3,3
3906,4,4,5,3,3,3,3
3912,2,4,1,1,3,1,1
3922,5,4,3,3,3,3,3
3923,2,4,1,3,3,3,3
3926,2,4,2,1,3,1,1
3928,2,4,6,3,3,3,3
3935,6,4,4,3,3,3,3
3940,2,4,2,3,3,3,3
3947,2,4,4,1,3,3,1
3952,5,4,6,3,3,3,3
3953,1,4,5,3,3,3,3
3959,2,4,2,3,3,3,3
3976,2,4,4,1,3,3,1
3992,2,4,6,1,3,3,1
3995,1,4,4,1,3,3,1
3999,2,4,3,1,3,2,1
4004,4,4,6,3,3,3,3
4008,2,4,5,1,3,2,1
4009,2,4,2,1,3,1,1
4013,6,4,2,3,3,3,3
4015,6,4,4,3,3,3,3
4026,2,4,5,1,3,2,1
4042,2,4,6,1,3,3,1
4050,2,4,1,1,3,1,1
4054,6,4,2,3,3,3,3
4055,5,4,3,3,3,3,3
4060,6,4,6,3,3,3,3
4069,2,4,6,1,3,3,1
4082,6,4,1,3,3,3,3
4098,2,4,6,1,3,3,1
4108,2,4,4,1,3,3,1
4112,6,4,4,3,3,3,3
4113,2,4,3,1,3,2,1
4123,2,4,3,1,3,2,1
4125,1,4,2,1,3,1,1
4130,2,4,5,1,3,2,1
4133,2,4,6,1,3,3,1
4140,6,4,2,3,3,3,3
4151,1,4,4,1,3,3,1
4152,2,4,5,1,3,2,1
4157,2,4,4,1,3,3,1
4159,2,4,4,1,3,3,1
4168,2,4,6,1,3,3,1
4176,2,4,6,1,3,3,1
4179,2,4,3,1,3,2,1
4181,2,4,1,1,3,1,1
4193,2,4,1,1,3,1,1
4195,2,4,3,1,3,2,1
4215,6,4,5,3,3,3,3
4217,2,4,6,1,3,3,1
4219,2,4,1,1,3,1,1
4223,6,4,5,3,3,3,3
4224,2,4,4,1,3,3,1
4225,2,4,5,3,3,3,3
4232,2,4,4,1,3,3,1
4234,2,4,6,1,3,3,1
4238,2,4,5,1,3,2,1
4243,2,4,2,1,3,1,1
4253,2,4,1,1,3,1,1
