our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
95,4,4,2,2,2,2,1
104,4,4,3,2,2,3,1
111,2,4,1,3,3,3,3
228,4,4,1,2,2,3,1
243,4,4,2,3,3,3,3
259,4,4,2,2,2,2,1
280,2,4,4,2,2,2,1
289,4,4,1,2,2,3,1
351,4,4,1,3,3,3,3
375,4,4,3,2,2,3,1
432,4,4,3,2,2,3,1
475,4,4,4,2,2,2,1
634,4,4,4,2,2,2,1
669,4,4,3,3,3,3,3
748,4,4,3,2,2,3,1
799,4,4,4,2,2,2,1
834,4,4,4,2,2,2,1
878,4,4,1,2,2,3,1
896,4,4,1,1,1,2,1
923,4,4,3,2,2,3,1
942,4,4,3,2,2,3,1
1044,4,4,2,2,2,2,1
1097,4,4,2,2,2,2,1
1111,4,4,1,2,2,3,1
1167,4,4,3,2,2,3,1
1216,4,4,4,2,2,2,1
1223,4,4,1,2,2,3,1
1294,4,4,2,2,2,2,1
1308,2,4,3,3,3,3,3
1322,4,4,4,3,3,3,3
1344,4,4,4,2,2,2,1
1389,3,4,3,3,3,3,3
1412,4,4,2,3,3,3,3
1476,3,4,2,3,3,3,3
1518,4,4,4,2,2,2,1
1583,4,4,1,3,3,3,3
1684,4,4,1,3,3,3,3
1782,4,4,1,3,3,3,3
1824,4,4,1,2,2,3,1
1936,4,4,4,3,3,3,3
2002,4,4,2,3,3,3,3
2016,4,4,3,2,2,3,1
2030,4,4,3,3,3,3,3
2044,4,4,3,3,3,3,3
2051,4,4,1,3,3,3,3
2093,4,4,2,1,1,3,1
2113,4,4,2,3,3,3,3
2196,4,4,4,3,3,3,3
2207,4,4,4,3,3,3,3
2223,4,4,4,2,2,2,1
2244,4,4,1,3,3,3,3
2265,4,4,4,3,3,3,3
2272,4,4,1,3,3,3,3
2286,4,4,2,3,3,3,3
2293,4,4,2,3,3,3,3
2335,4,4,3,3,3,3,3
2342,4,4,3,3,3,3,3
2377,4,4,3,3,3,3,3
2419,2,4,4,3,3,3,3
2454,4,4,3,3,3,3,3
2476,4,4,2,2,2,2,1
2490,4,4,2,2,2,2,1
2504,4,4,4,3,3,3,3
2511,4,4,2,3,3,3,3
2574,4,4,4,3,3,3,3
2602,4,4,2,3,3,3,3
2658,4,4,4,3,3,3,3
2700,4,4,4,3,3,3,3
2714,4,4,3,3,3,3,3
2728,4,4,2,3,3,3,3
2744,4,4,1,2,2,3,1
2758,4,4,2,3,3,3,3
2772,4,4,1,3,3,3,3
2801,4,4,3,2,2,3,1
2808,4,4,4,3,3,3,3
2815,4,4,2,2,2,2,1
2886,4,4,1,3,3,3,3
2900,4,4,4,3,3,3,3
2921,4,4,1,2,2,3,1
3067,4,4,2,3,3,3,3
3074,4,4,1,3,3,3,3
3104,4,4,1,3,3,3,3
3120,4,4,4,3,3,3,3
3157,4,4,1,3,3,3,3
3278,4,4,2,2,2,2,1
3285,4,4,1,3,3,3,3
3292,4,4,1,3,3,3,3
3303,4,4,4,3,3,3,3
3342,4,4,4,2,2,2,1
3353,4,4,3,2,2,3,1
3374,4,4,2,3,3,3,3
3381,4,4,2,2,2,2,1
3409,4,4,3,2,2,3,1
3476,4,4,1,3,3,3,3
3492,4,4,1,3,3,3,3
3510,4,4,3,2,2,3,1
3552,4,4,1,2,2,3,1
3566,4,4,1,2,2,3,1
3580,4,4,1,3,3,3,3
3594,4,4,2,2,2,2,1
3650,4,4,1,2,2,3,1
3657,4,4,3,3,3,3,3
3682,4,4,3,2,2,3,1
3689,3,4,4,3,2,2,1
3696,4,4,4,3,3,3,3
3717,4,4,2,3,3,3,3
