our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
15,1,4,3,3,3,3,3
84,1,4,4,3,3,3,3
95,1,4,3,3,2,3,1
135,1,4,1,3,2,3,1
214,1,4,3,3,2,3,1
266,1,4,1,3,2,3,1
280,1,4,4,3,2,2,1
289,1,4,3,3,2,3,1
331,1,4,3,3,2,3,1
425,1,4,1,3,2,3,1
496,1,4,1,3,3,3,3
569,1,4,4,3,2,2,1
576,1,4,2,3,2,2,1
641,1,4,2,3,2,2,1
716,1,4,4,3,3,3,3
764,1,4,3,3,3,3,3
771,1,4,2,3,2,2,1
778,1,4,3,3,2,3,1
820,1,4,3,3,2,3,1
857,1,4,3,3,2,3,1
902,1,4,4,3,3,3,3
909,1,4,3,3,2,3,1
937,1,4,1,3,3,3,3
970,1,4,4,3,2,2,1
1012,1,4,3,3,2,3,1
1019,1,4,2,3,2,2,1
1060,1,4,1,3,2,3,1
1097,1,4,2,3,2,2,1
1174,1,4,1,3,2,3,1
1209,1,4,1,3,2,3,1
1244,1,4,3,3,3,3,3
1375,1,4,4,3,3,3,3
1389,1,4,3,3,3,3,3
1412,1,4,2,3,3,3,3
1469,1,4,1,3,3,3,3
1518,1,4,1,3,2,3,1
1534,1,4,1,3,3,3,3
1548,1,4,2,3,2,2,1
1562,1,4,1,3,3,3,3
1583,1,4,2,3,3,3,3
1624,1,4,2,3,3,3,3
1633,1,4,1,3,3,3,3
1640,1,4,3,3,2,3,1
1647,1,4,3,3,3,3,3
1691,1,4,3,3,3,3,3
1705,1,4,3,3,3,3,3
1712,1,4,3,3,2,3,1
1726,1,4,2,3,2,2,1
1775,1,4,1,3,2,3,1
1789,1,4,2,3,3,3,3
1803,1,4,2,3,2,2,1
1817,1,4,3,3,3,3,3
1831,1,4,4,3,3,3,3
1873,1,4,4,3,2,2,1
1887,1,4,2,3,3,3,3
1901,1,4,3,3,3,3,3
1981,1,4,1,3,2,3,1
2016,1,4,3,3,2,3,1
2051,1,4,4,3,3,3,3
2065,1,4,2,3,3,3,3
2086,1,4,4,3,3,3,3
2099,1,4,3,3,3,3,3
2106,1,4,3,3,2,3,1
2140,1,4,4,3,2,2,1
2398,1,4,3,3,3,3,3
2454,1,4,4,3,3,3,3
2469,1,4,3,3,2,3,1
2483,1,4,3,3,2,3,1
2490,1,4,2,3,2,2,1
2511,1,4,3,3,3,3,3
2539,1,4,2,3,2,2,1
2567,1,4,2,3,2,2,1
2574,1,4,2,3,3,3,3
2588,1,4,4,3,3,3,3
2721,1,4,4,3,3,3,3
2765,1,4,1,3,2,3,1
2772,1,4,2,3,3,3,3
2801,1,4,1,3,2,3,1
2852,1,4,1,3,2,3,1
2900,1,4,1,3,3,3,3
2949,1,4,2,3,3,3,3
3164,1,4,1,3,3,3,3
3171,1,4,1,3,2,3,1
3207,1,4,1,3,3,3,3
3335,1,4,3,3,3,3,3
3342,1,4,3,3,2,3,1
3388,1,4,4,3,3,3,3
3423,1,4,3,3,2,3,1
3430,1,4,2,3,3,3,3
3503,1,4,3,3,2,3,1
3510,1,4,2,3,2,2,1
3517,1,4,3,3,3,3,3
3538,1,4,1,3,3,3,3
3587,1,4,2,3,2,2,1
3601,1,4,4,3,3,3,3
3650,1,4,4,3,2,2,1
