our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3352,4,4,3,3,3,3,3
3353,1,4,5,1,3,2,1
3354,1,4,1,1,3,1,1
3358,1,4,3,1,3,2,1
3366,1,4,1,1,3,1,1
3374,6,4,3,3,3,3,3
3377,4,4,2,3,3,3,3
3380,1,4,3,1,3,2,1
3387,1,4,2,3,3,3,3
3390,5,4,6,2,3,3,1
3394,4,4,2,3,3,3,3
3397,4,4,6,3,3,3,3
3401,6,4,4,3,3,3,3
3402,1,4,5,1,3,2,1
3412,6,4,3,3,3,3,3
3414,1,4,6,1,3,3,1
3424,4,4,4,3,3,3,3
3430,4,4,4,3,3,3,3
3435,1,4,1,1,3,1,1
3441,1,4,2,1,3,1,1
3442,1,4,2,1,3,1,1
3444,5,4,3,2,3,2,1
3445,1,4,4,1,3,3,1
3450,3,4,2,2,3,1,1
3465,4,4,1,3,3,3,3
3467,4,4,4,3,3,3,3
3477,6,4,2,3,3,3,3
3481,4,4,2,3,3,3,3
3482,1,4,3,1,3,2,1
3490,1,4,3,1,3,2,1
3494,3,4,5,3,3,3,3
3495,1,4,5,1,3,2,1
3496,4,4,3,3,3,3,3
3504,3,4,2,3,3,3,3
3515,6,4,1,3,3,3,3
3516,4,4,6,3,3,3,3
3517,1,4,2,1,3,1,1
3520,4,4,6,3,3,3,3
3553,4,4,2,3,3,3,3
3555,3,4,4,2,3,3,1
3563,1,4,2,1,3,1,1
3574,6,4,4,3,3,3,3
3578,1,4,2,3,3,3,3
3581,1,4,3,1,3,2,1
3586,4,4,6,3,3,3,3
3588,4,4,4,3,3,3,3
3590,4,4,6,3,3,3,3
3596,3,4,1,2,3,1,1
3597,1,4,3,3,3,3,3
3598,4,4,2,3,3,1,1
3604,1,4,5,1,3,2,1
3612,1,4,5,3,3,3,3
3628,1,4,5,1,3,2,1
3636,1,4,3,1,3,2,1
3643,4,4,3,3,3,3,3
3644,3,4,6,3,3,3,3
3647,6,4,5,3,3,3,3
3654,1,4,1,1,3,1,1
3655,3,4,3,3,3,3,3
3657,4,4,1,3,3,3,3
3660,1,4,2,1,3,1,1
3662,6,4,1,3,3,3,3
3674,1,4,3,1,3,2,1
3676,4,4,5,3,3,3,3
3677,4,4,3,3,3,3,3
3678,1,4,2,1,3,1,1
3683,1,4,6,3,3,3,3
3685,5,4,2,3,3,3,3
3686,1,4,5,1,3,2,1
3687,5,4,1,2,3,1,1
3712,4,4,1,3,3,3,3
3713,1,4,2,1,3,1,1
3718,4,4,3,3,3,3,3
3727,1,4,2,1,3,1,1
3732,1,4,4,1,3,3,1
3744,6,4,5,3,3,3,3
3762,4,4,5,3,3,3,3
3766,6,4,6,3,3,3,3
3774,6,4,4,3,3,3,3
3776,4,4,5,3,3,3,3
3778,1,4,3,1,3,2,1
3782,4,4,4,3,3,3,3
3812,1,4,4,1,3,3,1
3819,4,4,4,3,3,3,3
3827,4,4,5,3,3,3,3
3828,4,4,6,3,3,3,3
3834,6,4,1,3,3,3,3
3848,5,4,6,2,3,3,1
3851,6,4,1,3,3,3,3
3858,1,4,6,1,3,3,1
3859,5,4,3,3,3,3,3
3864,5,4,6,2,3,3,1
3868,1,4,1,1,3,1,1
3873,4,4,3,3,3,3,3
3874,6,4,4,3,3,3,3
3876,4,4,1,3,3,3,3
3881,1,4,4,3,3,3,3
3883,1,4,3,1,3,2,1
3887,1,4,5,1,3,2,1
3888,1,4,1,1,3,1,1
3892,6,4,3,3,3,3,3
3901,3,4,2,3,3,3,3
3906,6,4,5,3,3,3,3
3913,5,4,2,2,3,1,1
3921,1,4,6,1,3,3,1
3922,4,4,1,3,3,3,3
3936,5,4,5,2,3,2,1
3940,4,4,6,3,3,3,3
3945,1,4,2,1,3,1,1
3947,1,4,4,1,3,3,1
3950,3,4,5,2,3,2,1
3957,4,4,3,3,3,3,3
3969,4,4,5,3,3,3,3
3974,6,4,2,3,3,1,1
3975,5,4,5,2,3,2,1
3980,1,4,5,1,3,2,1
3985,3,4,2,2,3,1,1
3993,5,4,5,2,3,2,1
3994,5,4,2,2,3,1,1
3996,1,4,2,1,3,1,1
4005,3,4,1,3,3,3,3
4014,4,4,1,3,3,3,3
4023,1,4,1,1,3,1,1
4029,4,4,3,3,3,3,3
4032,2,4,6,1,3,3,1
4045,4,4,4,3,3,3,1
4057,5,4,5,2,3,2,1
4061,1,4,4,1,3,3,1
4066,6,4,6,3,3,3,3
4076,3,4,3,2,3,2,1
4081,1,4,1,1,3,1,1
4082,4,4,4,3,3,3,3
4085,1,4,1,1,3,1,1
4087,6,4,2,3,3,3,3
4099,1,4,1,1,3,1,1
4102,3,4,6,3,3,3,3
4112,6,4,2,3,3,3,3
4113,1,4,3,1,3,2,1
4115,1,4,5,1,3,2,1
4116,6,4,3,3,3,3,3
4121,3,4,5,2,3,2,1
4131,1,4,5,1,3,2,1
4139,4,4,1,3,3,3,3
4156,3,4,5,3,3,3,3
4163,4,4,1,3,3,3,3
4176,4,4,3,3,3,2,1
4179,1,4,3,1,3,2,1
4183,4,4,5,3,3,3,3
4187,1,4,6,1,3,3,1
4192,4,4,2,3,3,3,3
4194,1,4,5,1,3,2,1
4196,4,4,4,3,3,3,3
4198,1,4,3,3,3,3,3
4208,3,4,1,2,3,1,1
4210,1,4,1,3,3,3,3
4211,1,4,2,1,3,1,1
4214,4,4,2,3,3,3,3
4220,1,4,1,1,3,1,1
4228,4,4,1,3,3,3,3
4234,3,4,6,2,3,3,1
4237,5,4,4,2,3,3,1
4239,3,4,2,2,3,1,1
4241,3,4,6,2,3,3,1
4264,1,4,4,1,3,3,1
4270,1,4,5,1,3,2,1
4284,1,4,2,1,3,1,1
4285,3,4,3,2,3,2,1
4287,4,4,4,3,3,3,3
4291,4,4,2,3,3,3,3
4292,4,4,1,3,3,3,3
4303,1,4,4,1,3,3,1
4313,4,4,1,3,3,3,3
4322,1,4,4,1,3,3,1
4326,1,4,4,1,3,3,1
4334,1,4,1,1,3,1,1
4348,1,4,5,1,3,2,1
4349,1,4,2,1,3,1,1
4359,1,4,2,1,3,1,1
4360,1,4,6,1,3,3,1
4361,4,4,3,3,3,3,3
4370,2,4,4,1,3,3,1
4372,1,4,2,1,3,1,1
4377,1,4,5,1,3,2,1
4394,6,4,5,3,3,3,3
4403,5,4,6,2,3,3,1
4404,4,4,4,3,3,3,3
4405,3,4,3,2,3,2,1
4408,4,4,5,3,3,3,3
4413,5,4,3,2,3,2,1
4414,3,4,2,3,3,3,3
4416,6,4,3,3,3,3,3
4418,6,4,5,3,3,3,3
4420,6,4,2,3,3,3,3
4436,1,4,5,1,3,2,1
4440,4,4,2,3,3,3,3
4445,1,4,4,1,3,3,1
4447,3,4,5,2,3,2,1
4454,4,4,5,3,3,3,3
4455,3,4,1,2,3,1,1
4456,1,4,3,1,3,2,1
4457,3,4,3,2,3,2,1
4464,1,4,5,3,3,3,3
4465,1,4,1,1,3,1,1
4468,1,4,2,1,3,1,1
4471,1,4,1,3,3,3,3
4485,1,4,6,1,3,3,1
4496,1,4,2,1,3,1,1
4497,1,4,2,1,3,1,1
4509,1,4,3,1,3,2,1
4511,1,4,2,1,3,1,1
4512,4,4,1,3,3,3,3
4516,1,4,3,1,3,2,1
4520,5,4,2,2,3,1,1
4525,1,4,5,1,3,2,1
4535,4,4,6,3,3,3,3
4541,4,4,4,3,3,3,3
4543,3,4,5,2,3,2,1
4544,1,4,2,1,3,1,1
4548,1,4,4,1,3,3,1
4554,4,4,6,3,3,3,3
4559,1,4,2,1,3,1,1
4561,1,4,5,1,3,2,1
4569,4,4,5,3,3,3,3
4582,1,4,3,1,3,2,1
4583,5,4,1,2,3,1,1
4585,1,4,1,1,3,1,1
4597,1,4,5,1,3,2,1
4599,1,4,2,1,3,1,1
4602,3,4,4,2,3,3,1
4604,5,4,2,2,3,1,1
4611,1,4,4,1,3,3,1
4619,1,4,1,1,3,1,1
4626,4,4,3,3,3,3,3
4636,4,4,2,3,3,3,3
4649,1,4,2,1,3,1,1
4661,1,4,2,1,3,1,1
4670,4,4,4,3,3,3,1
4676,1,4,5,1,3,2,1
4678,1,4,2,1,3,1,1
4679,3,4,4,2,3,3,1
4687,1,4,1,1,3,1,1
4706,6,4,6,3,3,3,3
4707,5,4,5,2,3,2,1
4725,2,4,6,1,3,3,1
4739,4,4,6,3,3,3,3
4749,1,4,2,1,3,1,1
4753,4,4,4,3,3,3,3
4766,1,4,6,1,3,3,1
4783,1,4,6,1,3,3,1
4786,1,4,1,1,3,1,1
4794,1,4,2,1,3,1,1
4796,3,4,5,3,3,3,3
4797,3,4,1,2,3,1,1
4800,1,4,3,1,3,2,1
4805,6,4,4,3,3,3,3
4807,1,4,4,1,3,3,1
4813,1,4,2,1,3,1,1
4817,1,4,3,1,3,2,1
4825,1,4,1,1,3,1,1
4841,1,4,5,1,3,2,1
4842,3,4,4,2,3,3,1
4847,1,4,1,1,3,1,1
4850,3,4,5,2,3,2,1
4854,4,4,5,3,3,3,3
4858,4,4,4,3,3,3,3
4860,1,4,3,1,3,2,1
4864,1,4,3,1,3,2,1
4865,1,4,1,1,3,1,1
4872,1,4,1,1,3,1,1
4888,1,4,2,1,3,1,1
4893,1,4,6,1,3,3,1
4896,6,4,2,3,3,3,3
4901,4,4,6,3,3,3,1
4903,4,4,6,3,3,3,3
4910,4,4,6,3,3,3,3
4911,1,4,3,1,3,2,1
4912,1,4,6,1,3,3,1
4915,3,4,5,2,3,2,1
4921,4,4,1,3,3,3,3
4925,5,4,6,2,3,3,1
4929,6,4,2,3,3,3,3
4931,1,4,5,1,3,2,1
4932,4,4,3,3,3,3,3
4935,1,4,6,1,3,3,1
4943,3,4,6,2,3,3,1
4944,3,4,3,2,3,2,1
4949,4,4,6,3,3,3,3
4952,4,4,2,3,3,1,1
4957,1,4,5,1,3,2,1
4961,1,4,1,1,3,1,1
4984,5,4,3,2,3,2,1
4985,1,4,5,1,3,2,1
4992,1,4,6,1,3,3,1
5007,5,4,5,2,3,2,1
5008,1,4,6,1,3,3,1
5009,1,4,4,1,3,3,1
5013,1,4,3,1,3,2,1
5014,4,4,4,3,3,3,3
5016,4,4,4,3,3,3,1
5034,1,4,4,1,3,3,1
5038,4,4,6,3,3,3,3
5047,1,4,5,1,3,2,1
5054,6,4,3,3,3,3,3
5066,1,4,2,1,3,1,1
5077,4,4,1,3,3,3,3
5086,3,4,6,2,3,3,1
5088,1,4,5,1,3,2,1
5092,3,4,1,2,3,1,1
5101,1,4,3,1,3,2,1
5111,5,4,6,2,3,3,1
5114,4,4,1,3,3,3,3
5117,1,4,3,1,3,2,1
5121,1,4,5,1,3,2,1
5126,1,4,1,1,3,1,1
5130,1,4,2,1,3,1,1
5132,1,4,1,1,3,1,1
5142,1,4,6,1,3,3,1
5143,1,4,4,1,3,3,1
5145,1,4,2,1,3,1,1
5147,1,4,1,1,3,1,1
5148,4,4,6,3,3,3,3
5149,1,4,1,1,3,1,1
5150,4,4,5,3,3,3,3
5153,1,4,3,1,3,2,1
5157,1,4,6,1,3,3,1
5165,5,4,3,2,3,2,1
5167,4,4,4,3,3,3,3
5170,4,4,4,3,3,3,3
5171,1,4,6,1,3,3,1
5177,1,4,2,1,3,1,1
5180,1,4,5,1,3,2,1
5182,1,4,3,1,3,2,1
5184,1,4,2,1,3,1,1
5201,1,4,1,1,3,1,1
5215,1,4,4,1,3,3,1
5236,1,4,6,1,3,3,1
5240,1,4,2,1,3,1,1
5245,1,4,6,1,3,3,1
5246,1,4,5,1,3,2,1
5257,3,4,1,2,3,1,1
5259,1,4,1,1,3,1,1
5262,4,4,6,3,3,3,3
5271,4,4,6,3,3,3,3
5272,4,4,3,3,3,2,1
5275,1,4,6,1,3,3,1
5279,6,4,3,3,3,3,3
5282,5,4,2,2,3,1,1
5287,1,4,1,1,3,1,1
5290,1,4,1,1,3,1,1
5295,2,4,3,1,3,2,1
5298,1,4,2,1,3,1,1
5308,1,4,1,1,3,1,1
5317,1,4,4,1,3,3,1
5326,5,4,5,2,3,2,1
5328,1,4,2,1,3,1,1
5346,4,4,2,3,3,3,3
5354,4,4,6,3,3,3,1
5357,4,4,1,3,3,1,1
5367,1,4,6,1,3,3,1
5368,1,4,3,1,3,2,1
5384,1,4,6,1,3,3,1
5387,1,4,2,1,3,1,1
5394,1,4,4,1,3,3,1
5395,1,4,3,1,3,2,1
5408,4,4,6,3,3,3,3
5418,4,4,5,3,3,3,3
5423,1,4,4,1,3,3,1
5424,1,4,4,1,3,3,1
5429,1,4,4,1,3,3,1
5438,5,4,3,2,3,2,1
5447,1,4,3,1,3,2,1
5454,4,4,1,3,3,3,3
5455,1,4,1,1,3,1,1
5457,4,4,2,3,3,3,3
5478,1,4,5,1,3,2,1
5483,1,4,1,1,3,1,1
5501,4,4,1,3,3,3,3
5504,6,4,3,3,3,3,3
5508,3,4,5,3,3,3,3
5510,3,4,6,3,3,3,3
5511,6,4,4,3,3,3,3
5512,3,4,6,3,3,3,3
5525,4,4,2,3,3,3,3
5536,4,4,3,3,3,3,3
5544,4,4,5,3,3,3,3
5545,4,4,4,3,3,3,3
5548,6,4,4,3,3,3,3
5554,4,4,2,3,3,3,3
5562,3,4,5,3,3,3,3
5563,3,4,6,3,3,3,3
5567,4,4,4,3,3,3,3
5574,3,4,6,3,3,3,3
5578,4,4,3,3,3,3,3
5579,4,4,6,3,3,3,3
5582,4,4,3,3,3,3,3
5588,4,4,3,3,3,3,3
5597,6,4,3,3,3,3,3
5600,6,4,3,3,3,3,3
5614,3,4,4,3,3,3,3
5649,6,4,5,3,3,3,3
5650,4,4,4,3,3,3,3
5651,1,4,4,3,3,3,3
5656,6,4,4,3,3,3,3
5658,6,4,2,3,3,3,3
5664,6,4,4,3,3,3,3
5670,6,4,3,3,3,3,3
5673,6,4,2,3,3,3,3
5677,4,4,5,3,3,3,3
5683,6,4,4,3,3,3,3
5686,4,4,5,3,3,3,3
5698,4,4,3,3,3,3,3
5706,6,4,4,3,3,3,3
5708,4,4,4,3,3,3,3
5712,6,4,2,3,3,3,3
5721,4,4,3,3,3,3,3
5726,4,4,6,3,3,3,3
5733,6,4,5,3,3,3,3
5736,5,4,4,3,3,3,3
5749,6,4,6,3,3,3,3
5751,3,4,5,3,3,3,3
5752,4,4,4,3,3,3,3
5753,4,4,3,3,3,3,3
5756,6,4,4,3,3,3,3
5761,4,4,2,3,3,3,3
5763,4,4,3,3,3,3,3
5767,4,4,1,3,3,3,3
5771,5,4,2,3,3,3,3
5773,4,4,2,3,3,3,3
5776,4,4,5,3,3,3,3
5778,4,4,5,3,3,3,3
5781,6,4,3,3,3,3,3
5782,6,4,5,3,3,3,3
5784,6,4,4,3,3,3,3
5789,6,4,2,3,3,3,3
5793,4,4,2,3,3,3,3
5794,4,4,6,3,3,3,3
5797,6,4,5,3,3,3,3
5803,6,4,1,3,3,3,3
5804,6,4,5,3,3,3,3
5807,4,4,5,3,3,3,3
5813,4,4,1,3,3,3,3
5822,6,4,3,3,3,3,3
5830,6,4,3,3,3,3,3
5844,4,4,4,3,3,3,3
5855,4,4,3,3,3,3,3
5858,4,4,2,3,3,3,3
5861,6,4,4,3,3,3,3
5871,6,4,2,3,3,3,3
5874,6,4,1,3,3,3,3
5875,4,4,1,3,3,3,3
5876,3,4,5,3,3,3,3
5879,6,4,5,3,3,3,3
5889,4,4,4,3,3,3,3
5894,4,4,1,3,3,3,3
5898,4,4,4,3,3,3,3
5902,6,4,4,3,3,3,3
5905,4,4,6,3,3,3,3
5906,5,4,1,3,3,3,3
5907,6,4,5,3,3,3,3
5921,6,4,2,3,3,3,3
5944,4,4,4,3,3,3,3
5955,4,4,5,3,3,3,3
5956,6,4,5,3,3,3,3
5957,5,4,6,3,3,3,3
5961,4,4,6,3,3,3,3
5968,3,4,1,2,3,1,1
5969,6,4,1,3,3,3,3
5982,6,4,2,3,3,3,3
5984,3,4,1,2,3,1,1
5985,4,4,3,3,3,3,3
5989,4,4,3,3,3,3,3
5997,5,4,3,3,3,3,3
5999,4,4,3,3,3,3,3
6001,4,4,1,3,3,3,3
6007,6,4,5,3,3,3,3
6015,4,4,1,3,3,3,3
6041,6,4,5,3,3,3,3
6053,4,4,6,3,3,3,3
6057,4,4,4,3,3,3,3
6061,6,4,3,3,3,3,3
6064,6,4,6,3,3,3,3
6067,6,4,3,3,3,3,3
6071,6,4,5,3,3,3,3
6081,6,4,2,3,3,3,3
6083,4,4,3,3,3,3,3
6084,6,4,5,3,3,3,3
6106,4,4,1,3,3,3,3
6130,6,4,5,3,3,3,3
6137,3,4,2,3,3,3,3
6143,4,4,6,3,3,3,3
6152,6,4,2,3,3,3,3
6161,6,4,3,3,3,3,3
6162,6,4,6,3,3,3,3
6164,4,4,3,3,3,3,3
6187,6,4,3,3,3,3,3
6194,6,4,4,3,3,3,3
6208,6,4,6,3,3,3,3
6215,6,4,6,3,3,3,3
6230,6,4,4,3,3,3,3
6231,4,4,6,3,3,3,3
6236,6,4,5,3,3,3,3
6243,4,4,1,3,3,3,3
6246,6,4,5,3,3,3,3
6255,6,4,4,3,3,3,3
6262,6,4,1,3,3,3,3
6264,6,4,2,3,3,3,3
6265,6,4,4,3,3,3,3
6267,6,4,1,3,3,3,3
6274,4,4,4,3,3,3,3
6276,4,4,5,3,3,3,3
6287,6,4,6,3,3,3,3
6298,6,4,3,3,3,3,3
6300,6,4,5,3,3,3,3
6301,4,4,2,3,3,3,3
6319,4,4,1,3,3,3,3
6327,4,4,1,3,3,3,3
6337,6,4,4,3,3,3,3
6340,6,4,6,3,3,3,3
6343,6,4,1,3,3,3,3
6350,4,4,3,3,3,3,3
6356,4,4,5,3,3,3,3
6358,6,4,2,3,3,3,3
6359,4,4,6,3,3,3,3
