our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3357,2,4,3,1,3,2,1
3362,2,4,2,1,3,1,1
3366,2,4,5,1,3,2,1
3372,2,4,5,3,3,3,3
3380,2,4,1,1,3,1,1
3389,5,4,4,3,3,3,3
3404,2,4,2,3,3,3,3
3405,2,4,3,3,3,3,3
3407,2,4,6,1,3,3,1
3421,2,4,1,1,3,1,1
3427,2,4,4,1,3,3,1
3429,2,4,2,3,3,3,3
3441,2,4,5,1,3,2,1
3451,2,4,1,1,3,1,1
3456,6,4,1,3,3,3,3
3463,2,4,3,3,3,3,3
3465,2,4,2,3,3,3,3
3468,5,4,3,3,3,3,3
3485,2,4,3,1,3,2,1
3487,2,4,3,3,3,3,3
3504,2,4,3,3,3,3,3
3515,2,4,4,3,3,3,3
3545,2,4,4,3,3,3,3
3551,5,4,2,3,3,3,3
3554,2,4,5,1,3,2,1
3559,2,4,5,1,3,2,1
3564,6,4,6,3,3,3,3
3579,2,4,3,3,3,3,3
3591,2,4,4,1,3,3,1
3601,2,4,5,1,3,2,1
3612,2,4,4,3,3,3,3
3617,5,4,6,3,3,3,3
3634,2,4,2,1,3,1,1
3654,2,4,3,1,3,2,1
3659,2,4,6,1,3,3,1
3664,2,4,4,3,3,3,3
3671,2,4,3,1,3,2,1
3682,2,4,3,3,3,3,3
3689,2,4,4,3,3,3,3
3690,2,4,5,1,3,2,1
3701,2,4,2,3,3,3,3
3706,6,4,4,3,3,3,3
3714,5,4,5,3,3,3,3
3715,2,4,5,1,3,2,1
3716,6,4,6,3,3,3,3
3721,2,4,1,1,3,1,1
3729,2,4,3,1,3,2,1
3737,2,4,6,1,3,3,1
3742,2,4,1,1,3,1,1
3744,6,4,1,3,3,3,3
3748,2,4,2,1,3,1,1
3756,2,4,4,1,3,3,1
3765,2,4,4,1,3,3,1
3766,2,4,6,3,3,3,3
3770,2,4,1,1,3,1,1
3772,2,4,4,3,3,3,3
3774,6,4,1,3,3,3,3
3779,1,4,6,3,3,3,3
3783,2,4,2,3,3,3,3
3794,4,4,4,3,3,3,3
3800,2,4,6,3,3,3,3
3809,5,4,1,3,3,3,3
3810,2,4,2,3,3,3,3
3812,2,4,1,1,3,1,1
3816,1,4,6,3,3,3,3
3825,2,4,5,3,3,3,3
3830,2,4,3,3,3,3,3
3834,2,4,2,3,3,3,3
3841,2,4,2,1,3,1,1
3848,2,4,1,1,3,1,1
3850,2,4,5,1,3,2,1
3856,2,4,5,1,3,2,1
3863,2,4,1,3,3,3,3
3882,2,4,1,1,3,1,1
3885,2,4,5,1,3,2,1
3886,2,4,2,3,3,3,3
3891,2,4,3,1,3,2,1
3896,2,4,6,1,3,3,1
3909,2,4,4,1,3,3,1
3913,2,4,3,1,3,2,1
3915,2,4,3,1,3,2,1
3918,2,4,3,1,3,2,1
3920,5,4,4,3,3,3,3
3922,6,4,6,3,3,3,3
3927,2,4,5,1,3,2,1
3931,2,4,5,3,3,3,3
3940,2,4,4,3,3,3,3
3950,2,4,4,1,3,3,1
3952,2,4,4,3,3,3,3
3966,2,4,5,1,3,2,1
3979,2,4,2,1,3,1,1
3980,2,4,1,1,3,1,1
3984,2,4,4,1,3,3,1
3989,2,4,3,1,3,2,1
4000,2,4,1,1,3,1,1
4003,2,4,3,1,3,2,1
4028,2,4,3,1,3,2,1
4040,2,4,3,1,3,2,1
4041,1,4,5,1,3,2,1
4043,2,4,2,1,3,1,1
4052,2,4,3,1,3,2,1
4055,5,4,4,3,3,3,3
4068,2,4,2,1,3,1,1
4070,4,4,3,3,3,3,3
4080,2,4,1,1,3,1,1
4090,2,4,3,1,3,2,1
4099,2,4,1,1,3,1,1
4100,2,4,3,1,3,2,1
4103,2,4,2,1,3,1,1
4108,2,4,6,1,3,3,1
4113,2,4,3,1,3,2,1
4116,2,4,1,3,3,3,3
4119,2,4,5,3,3,3,3
4124,1,4,1,3,3,3,3
4127,2,4,4,3,3,3,3
4130,2,4,6,1,3,3,1
4136,2,4,4,3,3,3,3
4145,2,4,4,1,3,3,1
4149,2,4,5,1,3,2,1
4157,2,4,3,1,3,2,1
4166,2,4,4,1,3,3,1
4170,2,4,4,1,3,3,1
4171,2,4,4,1,3,3,1
4172,2,4,6,3,3,3,3
4174,2,4,4,3,3,3,3
4176,2,4,4,1,3,3,1
4179,2,4,6,1,3,3,1
4182,6,4,1,3,3,3,3
4184,2,4,3,1,3,2,1
4187,1,4,5,1,3,2,1
4193,2,4,2,1,3,1,1
4212,2,4,5,1,3,2,1
4215,2,4,2,3,3,3,3
4221,2,4,2,1,3,1,1
4223,6,4,2,3,3,3,3
4235,2,4,4,1,3,3,1
4240,2,4,3,3,3,3,3
4243,2,4,2,1,3,1,1
4244,2,4,6,1,3,3,1
4250,2,4,5,1,3,2,1
4255,2,4,6,1,3,3,1
4279,2,4,4,1,3,3,1
4292,6,4,4,3,3,3,3
4299,5,4,3,3,3,3,3
4301,2,4,4,1,3,3,1
4302,2,4,1,1,3,1,1
4309,2,4,5,1,3,2,1
4318,6,4,5,3,3,3,3
4321,2,4,2,1,3,1,1
4322,2,4,2,1,3,1,1
4332,2,4,2,1,3,1,1
4333,4,4,2,3,3,3,3
4340,2,4,1,1,3,1,1
4341,2,4,4,1,3,3,1
4349,2,4,2,1,3,1,1
4350,5,4,1,3,3,3,3
4360,2,4,6,1,3,3,1
4364,2,4,5,1,3,2,1
4369,2,4,3,1,3,2,1
4370,1,4,4,1,3,3,1
4374,2,4,1,1,3,1,1
4376,6,4,6,3,3,3,3
4379,6,4,2,3,3,3,3
4384,2,4,2,3,3,3,3
4391,4,4,3,3,3,3,3
4393,2,4,3,1,3,2,1
4401,6,4,5,3,3,3,3
4402,2,4,3,1,3,2,1
4406,2,4,2,1,3,1,1
4409,2,4,3,1,3,2,1
4416,6,4,3,3,3,3,3
4418,5,4,1,3,3,3,3
4427,2,4,5,1,3,2,1
4445,2,4,5,1,3,2,1
4447,2,4,6,1,3,3,1
4451,1,4,5,3,3,3,3
4453,5,4,1,3,3,3,3
4462,2,4,4,1,3,3,1
4470,2,4,3,1,3,2,1
4473,2,4,6,1,3,3,1
4478,2,4,2,1,3,1,1
4482,2,4,2,1,3,1,1
4486,2,4,3,1,3,2,1
4493,2,4,3,1,3,2,1
4514,6,4,2,3,3,3,3
4521,2,4,5,1,3,2,1
4522,2,4,2,1,3,1,1
4526,2,4,6,3,3,3,3
4537,1,4,1,1,3,1,1
4542,2,4,6,1,3,3,1
4544,2,4,3,1,3,2,1
4556,2,4,6,1,3,3,1
4560,2,4,3,1,3,2,1
4566,6,4,5,3,3,3,3
4580,6,4,3,3,3,3,3
4588,2,4,3,1,3,2,1
4589,2,4,4,1,3,3,1
4593,6,4,6,3,3,3,3
4604,2,4,4,1,3,3,1
4607,2,4,2,1,3,1,1
4610,2,4,1,1,3,1,1
4619,2,4,1,1,3,1,1
4625,2,4,1,3,3,3,3
4626,6,4,4,3,3,3,3
4630,2,4,5,1,3,2,1
4631,5,4,1,3,3,3,3
4636,4,4,2,3,3,3,3
4639,2,4,5,1,3,2,1
4641,2,4,2,1,3,1,1
4642,6,4,5,3,3,3,3
4653,2,4,6,1,3,3,1
4657,6,4,3,3,3,3,3
4659,2,4,5,1,3,2,1
4664,2,4,5,1,3,2,1
4669,2,4,1,1,3,1,1
4673,5,4,5,3,3,3,3
4678,2,4,5,1,3,2,1
4682,3,4,5,3,3,3,3
4686,2,4,5,1,3,2,1
4689,6,4,3,3,3,3,3
4705,2,4,3,1,3,2,1
4709,2,4,1,1,3,1,1
4710,2,4,6,3,3,3,3
4714,1,4,5,1,3,2,1
4726,2,4,3,1,3,2,1
4728,2,4,4,1,3,3,1
4739,2,4,4,3,3,3,3
4740,2,4,1,1,3,1,1
4741,2,4,3,1,3,2,1
4745,2,4,2,3,3,3,3
4747,5,4,4,3,3,3,3
4748,1,4,3,3,3,3,3
4751,2,4,1,1,3,1,1
4752,2,4,4,1,3,3,1
4754,2,4,3,1,3,2,1
4757,2,4,3,1,3,2,1
4763,5,4,3,3,3,3,3
4774,2,4,1,1,3,1,1
4775,2,4,2,1,3,1,1
4777,2,4,1,1,3,1,1
4779,5,4,4,3,3,3,3
4782,2,4,6,1,3,3,1
4794,1,4,1,1,3,1,1
4795,2,4,6,3,3,3,3
4797,2,4,1,1,3,1,1
4808,2,4,6,3,3,3,3
4814,2,4,1,1,3,1,1
4816,2,4,6,1,3,3,1
4819,2,4,4,1,3,3,1
4820,2,4,3,1,3,2,1
4821,2,4,3,1,3,2,1
4830,4,4,1,3,3,3,3
4831,6,4,4,3,3,3,3
4844,2,4,4,1,3,3,1
4849,2,4,1,1,3,1,1
4855,2,4,3,1,3,2,1
4862,2,4,2,1,3,1,1
4868,5,4,2,2,3,1,1
4878,2,4,6,1,3,3,1
