our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
15,2,4,1,3,3,3,3
49,4,4,2,2,2,2,1
77,4,4,3,3,3,3,3
84,4,4,3,3,3,3,3
135,2,4,1,2,2,3,1
170,2,4,1,2,2,3,1
289,2,4,1,2,2,3,1
310,4,4,3,2,2,3,1
331,4,4,4,2,2,2,1
496,2,4,3,3,3,3,3
555,4,4,1,3,3,3,3
562,2,4,2,2,2,2,1
723,2,4,2,2,2,2,1
741,2,4,3,2,2,3,1
799,4,4,4,2,2,2,1
871,2,4,1,2,2,3,1
889,4,4,2,2,2,2,1
963,2,4,2,2,2,2,1
1005,2,4,4,2,2,2,1
1019,2,4,3,2,2,3,1
1132,4,4,4,2,2,2,1
1160,4,4,4,2,2,2,1
1230,4,4,3,3,3,3,3
1322,4,4,2,3,3,3,3
1358,4,4,1,3,3,3,3
1368,4,4,2,2,2,2,1
1382,3,4,4,3,2,2,1
1389,4,4,1,3,3,3,3
1412,4,4,1,3,3,3,3
1483,4,4,1,3,3,3,3
1518,4,4,2,2,2,2,1
1555,4,4,2,3,3,3,3
1617,4,4,3,3,3,3,3
1624,3,4,3,3,3,3,3
1670,4,4,4,3,3,3,3
1726,4,4,1,2,2,3,1
1733,4,4,2,2,2,2,1
1817,3,4,3,3,3,3,3
1873,4,4,2,2,2,2,1
1880,4,4,3,2,2,3,1
1908,4,4,1,3,3,3,3
2037,4,4,4,3,3,3,3
2058,4,4,2,3,3,3,3
2120,4,4,2,3,3,3,3
2182,4,4,4,3,3,3,3
2272,4,4,4,3,3,3,3
2286,4,4,4,3,3,3,3
2300,4,4,3,3,3,3,3
2307,4,4,2,2,2,2,1
2314,4,4,4,3,3,3,3
2335,4,4,1,3,3,3,3
2342,4,4,3,3,3,3,3
2370,4,4,3,2,2,3,1
2419,4,4,1,3,3,3,3
2447,4,4,4,3,3,3,3
2497,4,4,1,3,3,3,3
2511,4,4,4,3,3,3,3
2574,4,4,2,3,3,3,3
2616,4,4,2,3,3,3,3
2637,4,4,1,3,3,3,3
2644,4,4,2,2,2,2,1
2658,4,4,1,3,3,3,3
2665,4,4,2,3,3,3,3
2679,4,4,1,3,3,3,3
2686,4,4,1,3,3,3,3
2700,4,4,3,3,3,3,3
2721,4,4,4,3,3,3,3
2737,4,4,2,2,2,2,1
2907,4,4,4,3,3,3,3
2928,4,4,4,2,2,2,1
2965,4,4,4,2,2,2,1
2972,4,4,3,2,2,3,1
3046,4,4,2,3,3,3,3
3067,4,4,1,3,3,3,3
3178,4,4,2,2,2,2,1
3239,4,4,1,3,3,3,3
3246,4,4,4,3,3,3,3
3257,4,4,3,2,2,3,1
3271,4,4,3,3,3,3,3
3342,4,4,2,2,2,2,1
3360,4,4,1,3,3,3,3
3381,4,4,1,2,2,3,1
3395,4,4,4,2,2,2,1
3444,4,4,3,2,2,3,1
3517,4,4,4,3,3,3,3
3559,4,4,1,3,3,3,3
3608,4,4,2,2,2,2,1
3622,4,4,3,3,3,3,3
3650,4,4,1,2,2,3,1
3682,4,4,4,2,2,2,1
3717,2,4,3,3,3,3,3
3745,4,4,4,2,2,2,1
