our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
3350,4,4,4,3,3,3,3
3355,4,4,1,3,3,1,1
3359,4,4,6,3,3,3,1
3374,4,4,4,3,3,3,3
3377,6,4,5,3,3,3,3
3383,4,4,5,3,3,2,1
3389,4,4,2,3,3,3,3
3394,6,4,5,3,3,3,3
3405,4,4,5,3,3,3,3
3407,4,4,5,3,3,2,1
3424,4,4,4,3,3,3,3
3426,4,4,1,3,3,3,3
3432,6,4,3,3,3,3,3
3435,4,4,4,3,3,3,1
3441,4,4,6,3,3,3,1
3451,6,4,1,3,3,1,1
3456,4,4,1,3,3,3,3
3464,4,4,4,3,3,3,3
3478,4,4,2,3,3,1,1
3487,6,4,2,3,3,3,3
3491,4,4,2,3,3,3,3
3495,4,4,3,3,3,2,1
3503,4,4,6,3,3,3,3
3504,4,4,6,3,3,3,3
3535,4,4,5,3,3,3,3
3536,4,4,2,3,3,3,3
3542,6,4,3,3,3,3,3
3571,6,4,1,3,3,3,3
3575,6,4,2,3,3,3,3
3586,4,4,2,3,3,3,3
3596,4,4,6,3,3,3,1
3603,4,4,2,3,3,1,1
3606,4,4,3,3,3,3,3
3623,4,4,6,3,3,3,1
3625,4,4,4,3,3,3,3
3629,6,4,4,3,3,3,3
3643,4,4,1,3,3,3,3
3651,4,4,6,3,3,3,3
3652,4,4,6,3,3,3,3
3654,6,4,3,3,3,2,1
3664,4,4,3,3,3,3,3
3670,4,4,6,3,3,3,3
3679,4,4,1,3,3,3,3
3680,4,4,5,3,3,3,3
3681,4,4,6,3,3,3,3
3684,6,4,2,3,3,1,1
3686,4,4,5,3,3,2,1
3698,4,4,6,3,3,3,3
3711,4,4,2,3,3,3,3
3713,4,4,6,3,3,3,1
3716,6,4,3,3,3,3,3
3719,4,4,3,3,3,2,1
3720,4,4,1,3,3,3,3
3723,4,4,1,3,3,1,1
3724,4,4,5,3,3,3,3
3742,6,4,6,3,3,3,1
3747,4,4,2,3,3,3,3
3750,4,4,6,3,3,3,1
