KOActivity_1,KOActivity_2,KOActivity_3,Number of checks to be executed according to the suggestion,Minimum Check Number (Ideal Processing),Check Overprocessing
3350,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3354,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3357,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3360,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3361,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3373,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
3375,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3380,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3388,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3392,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3393,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3397,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
3399,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3402,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3426,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3434,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3457,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3468,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
3471,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3480,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3488,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3498,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3516,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3517,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3518,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3535,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3550,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3553,CreditDecision,PostFundingCancellation,IdCancellation,3,3,0
3562,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3563,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3572,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
3576,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3577,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
3585,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
3593,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3598,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3610,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3621,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3623,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3628,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3650,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3657,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3674,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3680,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3681,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3685,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3705,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3706,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3716,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3718,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
3720,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3723,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3740,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
3741,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3750,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3761,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
3762,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
3774,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3777,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3780,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3785,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
3796,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
3818,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3819,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3829,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
3841,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3853,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
3856,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3860,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3863,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3868,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3870,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3879,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3883,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3885,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3888,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3899,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
3901,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3912,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3917,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3920,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3926,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3928,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3930,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3947,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3948,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3951,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
3953,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
3954,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
3962,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3965,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3967,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3971,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
3973,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
3976,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
3990,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
3996,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4009,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4012,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4033,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
4040,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4049,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4079,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4081,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
4097,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4098,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4101,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4104,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4106,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4109,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4113,IdCancellation,CreditDecision,PostFundingCancellation,2,1,1
4117,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4124,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4129,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4132,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4137,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4138,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4141,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4152,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4156,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4164,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4179,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4183,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4185,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4188,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4194,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4197,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4205,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4208,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4211,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4221,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4222,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4224,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4227,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4243,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4260,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4265,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4269,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4272,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4276,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4277,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4278,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4281,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
4282,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4285,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4300,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4306,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4315,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4316,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4318,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4327,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4330,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4333,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
4334,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4342,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4348,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4349,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4350,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4352,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4361,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4371,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4374,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4375,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4381,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4388,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4405,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4414,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4415,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
4417,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4420,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
4421,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4427,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4430,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4436,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4437,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
4441,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
